date,category,description,amount
2025-09-16,Loan Payment,Loan repayment,-2336355
2025-09-16,Salary,Monthly salary,29659953
2025-09-16,Health,Doctor appointment,-739888
2025-09-16,Utilities,Electricity bill,-130324
2025-09-17,Eating Out,Cafe,-670223
2025-09-17,Misc,Miscellaneous,-418762
2025-09-17,Salary,Monthly salary,30225096
2025-09-17,Gift,Gift from family,2433410
2025-09-17,Shopping,Home items,-2179146
2025-09-17,Entertainment,Movie,-833120
2025-09-17,Health,Doctor appointment,-863289
2025-09-18,Eating Out,Restaurant,-360978
2025-09-18,Entertainment,Streaming,-943659
2025-09-18,Transport,Public transport,-120194
2025-09-18,Health,Doctor appointment,-1514684
2025-09-18,Transport,Taxi,-81731
2025-09-18,Entertainment,Streaming,-36108
2025-09-19,Eating Out,Street food,-82990
2025-09-20,Transport,Taxi,-202949
2025-09-20,Rent,Apartment rent,-14134500
2025-09-20,Salary,Monthly salary,30636516
2025-09-20,Misc,Miscellaneous,-233313
2025-09-20,Shopping,Electronics,-3190080
2025-09-20,Health,Pharmacy,-639706
2025-09-20,Health,Doctor appointment,-1802982
2025-09-21,Rent,Apartment rent,-10844661
2025-09-22,Rent,Apartment rent,-8836812
2025-09-23,Shopping,Electronics,-442701
2025-09-23,Transport,Public transport,-445969
2025-09-24,Eating Out,Cafe,-302161
2025-09-24,Utilities,Internet,-810456
2025-09-25,Rent,Apartment rent,-12586926
2025-09-25,Salary,Monthly salary,22889361
2025-09-25,Salary,Monthly salary,38398152
2025-09-25,Groceries,Vegetable market,-855823
2025-09-25,Health,Doctor appointment,-1120611
2025-09-26,Rent,Apartment rent,-2833429
2025-09-26,Freelance,Client payment,3096182
2025-09-26,Salary,Monthly salary,32531308
2025-09-26,Entertainment,Concert,-524686
2025-09-26,Transport,Gas,-436294
2025-09-27,Transport,Taxi,-27532
2025-09-27,Freelance,Client payment,2114689
2025-09-27,Utilities,Electricity bill,-709524
2025-09-27,Groceries,Vegetable market,-1048660
2025-09-27,Misc,Miscellaneous,-225120
2025-09-27,Transport,Public transport,-18492
2025-09-28,Entertainment,Concert,-913876
2025-09-28,Freelance,Project payment,13087917
2025-09-28,Misc,Miscellaneous,-43960
2025-09-28,Health,Pharmacy,-1923069
2025-09-28,Entertainment,Movie,-609471
2025-09-28,Interest,Bank interest,1446231
2025-09-28,Freelance,Project payment,13446507
2025-09-28,Health,Doctor appointment,-1249571
2025-09-29,Interest,Bank interest,1880949
2025-09-29,Transport,Gas,-462109
2025-09-30,Health,Pharmacy,-999675
2025-09-30,Misc,Miscellaneous,-474844
2025-09-30,Entertainment,Movie,-240832
2025-09-30,Misc,Miscellaneous,-150754
2025-09-30,Freelance,Client payment,11330886
2025-09-30,Utilities,Electricity bill,-701669
2025-09-30,Rent,Apartment rent,-6555025
2025-09-30,Shopping,Electronics,-1607608
2025-09-30,Rent,Apartment rent,-7852917
2025-09-30,Health,Doctor appointment,-460122
2025-10-01,Loan Payment,Loan repayment,-4940332
2025-10-01,Freelance,Project payment,10669014
2025-10-01,Groceries,Supermarket,-199597
2025-10-01,Transport,Public transport,-173967
2025-10-01,Groceries,Vegetable market,-1021801
2025-10-01,Misc,Miscellaneous,-91378
2025-10-02,Eating Out,Restaurant,-341277
2025-10-02,Misc,Miscellaneous,-50412
2025-10-02,Shopping,Home items,-2498795
2025-10-02,Loan Payment,Loan repayment,-6145579
2025-10-02,Shopping,Home items,-646118
2025-10-02,Rent,Apartment rent,-12344599
2025-10-02,Interest,Bank interest,1360608
2025-10-02,Gift,Gift from family,2743164
2025-10-02,Health,Doctor appointment,-1798287
2025-10-03,Transport,Gas,-203405
2025-10-03,Freelance,Client payment,12201214
2025-10-04,Health,Doctor appointment,-1328167
2025-10-04,Rent,Apartment rent,-11835587
2025-10-04,Eating Out,Cafe,-102770
2025-10-04,Salary,Monthly salary,29023553
2025-10-04,Utilities,Water bill,-1708724
2025-10-04,Gift,Birthday gift,1830645
2025-10-04,Misc,Miscellaneous,-111112
2025-10-04,Utilities,Electricity bill,-143364
2025-10-04,Groceries,Vegetable market,-1406523
2025-10-04,Interest,Bank interest,762263
2025-10-05,Utilities,Water bill,-593247
2025-10-06,Utilities,Electricity bill,-1686199
2025-10-06,Transport,Taxi,-111006
2025-10-06,Utilities,Internet,-1235930
2025-10-06,Utilities,Internet,-550862
2025-10-07,Eating Out,Street food,-366871
2025-10-07,Transport,Public transport,-88828
2025-10-07,Eating Out,Cafe,-548521
2025-10-07,Rent,Apartment rent,-8222524
2025-10-07,Misc,Miscellaneous,-187408
2025-10-07,Salary,Monthly salary,12245913
2025-10-07,Health,Doctor appointment,-1424915
2025-10-08,Loan Payment,Loan repayment,-4031705
2025-10-08,Entertainment,Concert,-326810
2025-10-08,Entertainment,Concert,-42371
2025-10-08,Gift,Gift from family,2568765
2025-10-09,Eating Out,Cafe,-515376
2025-10-09,Shopping,Home items,-803969
2025-10-10,Groceries,Vegetable market,-566989
2025-10-10,Groceries,Supermarket,-898425
2025-10-10,Misc,Miscellaneous,-439129
2025-10-11,Eating Out,Street food,-731345
2025-10-11,Health,Doctor appointment,-651361
2025-10-11,Entertainment,Movie,-307683
2025-10-11,Eating Out,Street food,-559324
2025-10-12,Rent,Apartment rent,-13581513
2025-10-12,Shopping,Home items,-109079
2025-10-12,Health,Pharmacy,-595681
2025-10-12,Groceries,Supermarket,-234517
2025-10-12,Loan Payment,Loan repayment,-7581638
2025-10-13,Groceries,Vegetable market,-468097
2025-10-13,Utilities,Internet,-218450
2025-10-13,Salary,Monthly salary,37462231
2025-10-13,Rent,Apartment rent,-3839844
2025-10-13,Rent,Apartment rent,-3667978
2025-10-13,Utilities,Water bill,-451289
2025-10-13,Misc,Miscellaneous,-457010
2025-10-13,Groceries,Vegetable market,-1314601
2025-10-13,Shopping,Electronics,-1380395
2025-10-13,Entertainment,Streaming,-183558
2025-10-14,Loan Payment,Loan repayment,-8797648
2025-10-14,Interest,Bank interest,116264
2025-10-15,Salary,Monthly salary,21861415
2025-10-15,Entertainment,Streaming,-233147
2025-10-15,Utilities,Electricity bill,-748453
2025-10-15,Rent,Apartment rent,-7036347
2025-10-15,Groceries,Supermarket,-408690
2025-10-15,Misc,Miscellaneous,-320763
2025-10-15,Utilities,Internet,-1775038
2025-10-16,Interest,Bank interest,1372643
2025-10-16,Health,Pharmacy,-1419472
2025-10-16,Entertainment,Concert,-448380
2025-10-16,Eating Out,Street food,-157430
2025-10-16,Eating Out,Cafe,-698722
2025-10-17,Eating Out,Restaurant,-349579
2025-10-17,Health,Pharmacy,-672313
2025-10-17,Utilities,Water bill,-1614658
2025-10-17,Salary,Monthly salary,23395387
2025-10-17,Shopping,Home items,-4253922
2025-10-17,Transport,Gas,-338920
2025-10-17,Interest,Bank interest,645567
2025-10-17,Eating Out,Street food,-179922
2025-10-17,Transport,Public transport,-74667
2025-10-17,Interest,Bank interest,1772216
2025-10-18,Groceries,Supermarket,-1061212
2025-10-19,Rent,Apartment rent,-10198064
2025-10-19,Loan Payment,Loan repayment,-3183365
2025-10-20,Freelance,Client payment,2298615
2025-10-20,Eating Out,Cafe,-788644
2025-10-20,Health,Pharmacy,-1959434
2025-10-20,Eating Out,Restaurant,-231347
2025-10-20,Loan Payment,Loan repayment,-1123013
2025-10-20,Health,Pharmacy,-697035
2025-10-20,Loan Payment,Loan repayment,-9200205
2025-10-20,Groceries,Supermarket,-1358251
2025-10-21,Transport,Public transport,-139076
2025-10-22,Entertainment,Concert,-215424
2025-10-23,Eating Out,Restaurant,-400256
2025-10-23,Health,Doctor appointment,-919754
2025-10-23,Entertainment,Movie,-707621
2025-10-24,Health,Doctor appointment,-186702
2025-10-24,Entertainment,Streaming,-147461
2025-10-25,Salary,Monthly salary,38925350
2025-10-25,Rent,Apartment rent,-3086508
2025-10-25,Salary,Monthly salary,33496083
2025-10-26,Shopping,Home items,-2720645
2025-10-26,Rent,Apartment rent,-13710849
2025-10-26,Misc,Miscellaneous,-106642
2025-10-26,Transport,Gas,-467081
2025-10-26,Loan Payment,Loan repayment,-6472100
2025-10-26,Eating Out,Street food,-289498
2025-10-26,Eating Out,Cafe,-266756
2025-10-26,Transport,Gas,-408507
2025-10-27,Transport,Public transport,-48064
2025-10-27,Loan Payment,Loan repayment,-5914338
2025-10-27,Misc,Miscellaneous,-383008
2025-10-27,Groceries,Supermarket,-965394
2025-10-27,Loan Payment,Loan repayment,-4245927
2025-10-27,Eating Out,Street food,-116732
2025-10-27,Health,Doctor appointment,-230571
2025-10-27,Transport,Taxi,-495019
2025-10-27,Freelance,Client payment,3695315
2025-10-27,Rent,Apartment rent,-2043795
2025-10-28,Misc,Miscellaneous,-348948
2025-10-28,Shopping,Clothes,-4608154
2025-10-28,Entertainment,Streaming,-690309
2025-10-28,Misc,Miscellaneous,-444428
2025-10-28,Interest,Bank interest,1996353
2025-10-28,Groceries,Vegetable market,-1327552
2025-10-28,Rent,Apartment rent,-12428843
2025-10-28,Misc,Miscellaneous,-213427
2025-10-28,Salary,Monthly salary,38230243
2025-10-28,Freelance,Project payment,8960945
2025-10-29,Health,Pharmacy,-1982615
2025-10-30,Misc,Miscellaneous,-362128
2025-10-31,Rent,Apartment rent,-11586770
2025-10-31,Loan Payment,Loan repayment,-6135549
2025-10-31,Eating Out,Street food,-658589
2025-11-01,Entertainment,Streaming,-991184
2025-11-01,Groceries,Supermarket,-318830
2025-11-01,Utilities,Internet,-856652
2025-11-01,Eating Out,Cafe,-666550
2025-11-01,Shopping,Electronics,-871618
2025-11-01,Transport,Public transport,-22498
2025-11-02,Utilities,Internet,-1164390
2025-11-02,Transport,Public transport,-408010
2025-11-02,Utilities,Internet,-608600
2025-11-02,Groceries,Vegetable market,-1393533
2025-11-02,Transport,Gas,-105854
2025-11-02,Transport,Taxi,-348147
2025-11-02,Transport,Taxi,-38803
2025-11-02,Misc,Miscellaneous,-330188
2025-11-02,Shopping,Electronics,-3239674
2025-11-02,Freelance,Project payment,5833814
2025-11-03,Salary,Monthly salary,13333347
2025-11-03,Groceries,Supermarket,-1334522
2025-11-03,Transport,Taxi,-486298
2025-11-03,Gift,Gift from family,2504574
2025-11-03,Utilities,Electricity bill,-1786156
2025-11-03,Entertainment,Concert,-274487
2025-11-04,Misc,Miscellaneous,-315525
2025-11-05,Rent,Apartment rent,-13291763
2025-11-05,Loan Payment,Loan repayment,-9108401
2025-11-06,Health,Doctor appointment,-1385724
2025-11-06,Entertainment,Movie,-116001
2025-11-06,Transport,Taxi,-220029
2025-11-06,Freelance,Project payment,3086254
2025-11-06,Rent,Apartment rent,-3553190
2025-11-07,Transport,Taxi,-50875
2025-11-07,Entertainment,Streaming,-653599
2025-11-07,Loan Payment,Loan repayment,-2215158
2025-11-07,Salary,Monthly salary,30526154
2025-11-07,Entertainment,Movie,-253201
2025-11-07,Utilities,Internet,-469340
2025-11-07,Transport,Public transport,-374407
2025-11-07,Eating Out,Restaurant,-789654
2025-11-07,Health,Pharmacy,-1259221
2025-11-08,Eating Out,Restaurant,-328557
2025-11-08,Loan Payment,Loan repayment,-4896824
2025-11-08,Shopping,Clothes,-577124
2025-11-08,Freelance,Project payment,8534482
2025-11-08,Eating Out,Cafe,-55194
2025-11-08,Groceries,Supermarket,-591078
2025-11-08,Freelance,Project payment,5253981
2025-11-08,Health,Doctor appointment,-77734
2025-11-08,Entertainment,Streaming,-139960
2025-11-09,Transport,Public transport,-127457
2025-11-09,Salary,Monthly salary,38960290
2025-11-09,Interest,Bank interest,67367
2025-11-09,Eating Out,Restaurant,-613191
2025-11-10,Groceries,Supermarket,-367925
2025-11-11,Shopping,Clothes,-4231561
2025-11-11,Shopping,Electronics,-1555806
2025-11-11,Groceries,Vegetable market,-1114513
2025-11-11,Eating Out,Street food,-688177
2025-11-11,Transport,Gas,-33003
2025-11-12,Gift,Birthday gift,1456123
2025-11-12,Interest,Bank interest,627719
2025-11-12,Transport,Public transport,-330288
2025-11-12,Groceries,Supermarket,-297216
2025-11-12,Health,Pharmacy,-1922741
2025-11-12,Misc,Miscellaneous,-323982
2025-11-12,Utilities,Water bill,-1488794
2025-11-12,Shopping,Clothes,-2717231
2025-11-12,Entertainment,Concert,-555108
2025-11-13,Utilities,Internet,-662590
2025-11-13,Groceries,Supermarket,-738585
2025-11-13,Transport,Gas,-213669
2025-11-13,Shopping,Clothes,-2928168
2025-11-13,Interest,Bank interest,1566325
2025-11-14,Utilities,Internet,-1449630
2025-11-15,Transport,Taxi,-222773
2025-11-15,Interest,Bank interest,741320
2025-11-15,Groceries,Vegetable market,-311026
2025-11-16,Groceries,Supermarket,-1104476
2025-11-16,Health,Doctor appointment,-1189973
2025-11-16,Eating Out,Cafe,-235304
2025-11-16,Misc,Miscellaneous,-464045
2025-11-16,Groceries,Vegetable market,-829200
2025-11-16,Eating Out,Cafe,-646252
2025-11-16,Groceries,Vegetable market,-162753
2025-11-17,Freelance,Project payment,14569970
2025-11-17,Eating Out,Restaurant,-338642
2025-11-17,Health,Doctor appointment,-972279
2025-11-17,Shopping,Home items,-2915841
2025-11-17,Freelance,Project payment,12306503
2025-11-18,Utilities,Internet,-1434800
2025-11-18,Shopping,Electronics,-3511110
2025-11-18,Freelance,Client payment,4735792
2025-11-18,Utilities,Internet,-1630483
2025-11-18,Gift,Gift from family,1993105
2025-11-19,Rent,Apartment rent,-8245965
2025-11-19,Rent,Apartment rent,-13308348
2025-11-19,Eating Out,Cafe,-787357
2025-11-19,Health,Pharmacy,-1835561
2025-11-19,Eating Out,Cafe,-449297
2025-11-19,Transport,Public transport,-356760
2025-11-19,Rent,Apartment rent,-5493238
2025-11-20,Shopping,Home items,-4083979
2025-11-20,Eating Out,Restaurant,-154517
2025-11-20,Eating Out,Cafe,-680359
2025-11-20,Loan Payment,Loan repayment,-1571867
2025-11-20,Shopping,Home items,-594670
2025-11-20,Rent,Apartment rent,-6459697
2025-11-20,Utilities,Internet,-140513
2025-11-20,Utilities,Water bill,-742179
2025-11-21,Rent,Apartment rent,-2233186
2025-11-21,Health,Doctor appointment,-1574364
2025-11-21,Loan Payment,Loan repayment,-2909017
2025-11-22,Loan Payment,Loan repayment,-6312817
2025-11-22,Transport,Public transport,-461123
2025-11-22,Eating Out,Restaurant,-90215
2025-11-22,Transport,Public transport,-192726
2025-11-22,Transport,Public transport,-471822
2025-11-22,Health,Pharmacy,-269323
2025-11-22,Transport,Public transport,-181790
2025-11-23,Gift,Birthday gift,2872109
2025-11-23,Loan Payment,Loan repayment,-3479793
2025-11-23,Entertainment,Streaming,-626076
2025-11-23,Rent,Apartment rent,-2443893
2025-11-23,Utilities,Electricity bill,-430369
2025-11-23,Transport,Gas,-206828
2025-11-23,Shopping,Electronics,-2667742
2025-11-23,Utilities,Internet,-870515
2025-11-23,Shopping,Home items,-2815741
2025-11-23,Rent,Apartment rent,-12595005
2025-11-24,Misc,Miscellaneous,-440447
2025-11-24,Entertainment,Streaming,-245760
2025-11-24,Health,Doctor appointment,-746895
2025-11-24,Interest,Bank interest,1931568
2025-11-24,Entertainment,Concert,-812474
2025-11-24,Rent,Apartment rent,-11537115
2025-11-25,Salary,Monthly salary,35069153
2025-11-25,Interest,Bank interest,1979145
2025-11-25,Shopping,Electronics,-1238282
2025-11-25,Salary,Monthly salary,17830205
2025-11-26,Health,Doctor appointment,-1672655
2025-11-26,Loan Payment,Loan repayment,-6343800
2025-11-26,Transport,Public transport,-366489
2025-11-26,Utilities,Electricity bill,-399202
2025-11-26,Health,Doctor appointment,-1480395
2025-11-27,Shopping,Home items,-2216755
2025-11-27,Interest,Bank interest,1870399
2025-11-27,Salary,Monthly salary,25052828
2025-11-27,Utilities,Electricity bill,-737096
2025-11-28,Groceries,Supermarket,-769653
2025-11-28,Gift,Birthday gift,384662
2025-11-28,Loan Payment,Loan repayment,-8619384
